"Model" "Accuracy" "Accuracy_SD" "Correct" "Correct_SD" "Accuracy_High" "Accuracy_High_SD" "Correct_High" "Correct_High_SD"
"31" "GoogLeNet_conv2.norm2" 0.528571428571429 0.0297348422423374 148 8.29154295606651 0.525 0.0444789135754084 63 5.54673984530154
"32" "GoogLeNet_inception_3a.output" 0.564285714285714 0.0298496139107052 158 8.37364237911715 0.55 0.0462791728078517 66 5.46147815355979
"33" "GoogLeNet_inception_3b.output" 0.567857142857143 0.0292299516677934 159 8.25970974989898 0.55 0.0447515195499415 66 5.54578839160333
"34" "GoogLeNet_inception_4a.output" 0.535714285714286 0.0293106070552115 150 8.26365547145302 0.458333333333333 0.0444818829716813 55 5.40836391158177
"35" "GoogLeNet_inception_4b.output" 0.542857142857143 0.0302392232123912 152 8.40910817507719 0.483333333333333 0.0452824725156521 58 5.6400686997118
"36" "GoogLeNet_inception_4c.output" 0.535714285714286 0.0299373624534121 150 8.25028633517081 0.475 0.0452806015283666 57 5.51641971238788
"37" "GoogLeNet_inception_4d.output" 0.560714285714286 0.0297388867371604 157 8.33297419769735 0.533333333333333 0.045683634401032 64 5.4546967476024
"38" "GoogLeNet_inception_4e.output" 0.582142857142857 0.0298814068828741 163 8.09915278828249 0.566666666666667 0.0452472685027399 68 5.44709584793478
"39" "GoogLeNet_inception_5a.output" 0.639285714285714 0.0282591016608569 179 8.0000181184137 0.641666666666667 0.0449826569696295 77 5.26542128710185
"40" "GoogLeNet_inception_5b.output" 0.632142857142857 0.0288635418622809 177 7.96130185105312 0.683333333333333 0.0418922889184191 82 5.13701259967548
"41" "GoogLeNet_loss3.classifier" 0.617857142857143 0.0285664278099727 173 8.26957439535676 0.641666666666667 0.0452074865598544 77 5.11672810038081
"42" "GoogLeNet_pool1.norm1" 0.575 0.0296528248987601 161 8.19281080120933 0.583333333333333 0.0448235002014276 70 5.43588570765734
"43" "GoogLeNet_pool3.3x3_s2" 0.557142857142857 0.0300233782223994 156 8.42253033586875 0.525 0.044967973946668 63 5.45632252325125
"44" "GoogLeNet_pool4.3x3_s2" 0.589285714285714 0.029174620112242 165 8.33031252735464 0.583333333333333 0.0448331488773432 70 5.27314915880686
"45" "GoogLeNet_pool5.7x7_s1" 0.617857142857143 0.0285184771599899 173 8.19143623327325 0.658333333333333 0.0438822791618033 79 5.15458668390987
"46" "GoogLeNet_prob" 0.603571428571429 0.0294519304106485 169 8.28629152960821 0.658333333333333 0.0426079569655266 79 5.35000944396599
"47" "VP" 0.582142857142857 0.0304079704892223 163 8.2973291235971 0.658333333333333 0.0430384036679985 79 5.11997078120571
