"Comparison1" "Comparison2" "HumanPred"
"213" "o7_t1_cs_d1" "o7_t2_ap_d2" 0.5
"214" "o7_t1_cs_d2" "o7_t2_ap_d2" 0.5
"234" "o8_t1_cs_d1" "o8_t2_ap_d1" 0.428571428571429
"235" "o8_t1_cs_d2" "o8_t2_ap_d1" 0.928571428571429
"241" "o8_t1_cs_d1" "o8_t2_ap_d2" 0
"242" "o8_t1_cs_d2" "o8_t2_ap_d2" 0.1
"262" "o9_t1_cs_d1" "o9_t2_ap_d1" 0.8
"263" "o9_t1_cs_d2" "o9_t2_ap_d1" 0.75
"269" "o9_t1_cs_d1" "o9_t2_ap_d2" 0.888888888888889
"270" "o9_t1_cs_d2" "o9_t2_ap_d2" 0.857142857142857
