"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"163" "o3_t2_rp_d2" "o3_t1_cs_d2" 0
"164" "o3_t2_rp_d2" "o3_t2_mf_d1" 0
"165" "o3_t2_rp_d2" "o3_t2_mf_d2" 0
"166" "o3_t2_rp_d2" "o3_t2_ap_d1" 0
"167" "o3_t2_rp_d2" "o3_t2_ap_d2" 0
"168" "o3_t2_rp_d2" "o3_t2_rp_d1" 0
"169" "o4_t1_cs_d1" "o4_t1_cs_d2" 0
"170" "o4_t1_cs_d1" "o4_t2_mf_d1" 0
"171" "o4_t1_cs_d1" "o4_t2_mf_d2" 0
"172" "o4_t1_cs_d1" "o4_t2_ap_d1" 0
"173" "o4_t1_cs_d1" "o4_t2_ap_d2" 0
"174" "o4_t1_cs_d1" "o4_t2_rp_d1" 0
"175" "o4_t1_cs_d1" "o4_t2_rp_d2" 0
"176" "o4_t1_cs_d2" "o4_t1_cs_d1" 1
"177" "o4_t1_cs_d2" "o4_t2_mf_d1" 1
"178" "o4_t1_cs_d2" "o4_t2_mf_d2" 1
"179" "o4_t1_cs_d2" "o4_t2_ap_d1" 1
"180" "o4_t1_cs_d2" "o4_t2_ap_d2" 0
"181" "o4_t1_cs_d2" "o4_t2_rp_d1" 1
"182" "o4_t1_cs_d2" "o4_t2_rp_d2" 1
"183" "o4_t2_mf_d1" "o4_t1_cs_d1" 1
"184" "o4_t2_mf_d1" "o4_t1_cs_d2" 0
"185" "o4_t2_mf_d1" "o4_t2_mf_d2" 1
"186" "o4_t2_mf_d1" "o4_t2_ap_d1" 1
"187" "o4_t2_mf_d1" "o4_t2_ap_d2" 0
"188" "o4_t2_mf_d1" "o4_t2_rp_d1" 0
"189" "o4_t2_mf_d1" "o4_t2_rp_d2" 0
"190" "o4_t2_mf_d2" "o4_t1_cs_d1" 1
"191" "o4_t2_mf_d2" "o4_t1_cs_d2" 0
"192" "o4_t2_mf_d2" "o4_t2_mf_d1" 0
"193" "o4_t2_mf_d2" "o4_t2_ap_d1" 1
"194" "o4_t2_mf_d2" "o4_t2_ap_d2" 0
"195" "o4_t2_mf_d2" "o4_t2_rp_d1" 0
"196" "o4_t2_mf_d2" "o4_t2_rp_d2" 0
"197" "o4_t2_ap_d1" "o4_t1_cs_d1" 1
"198" "o4_t2_ap_d1" "o4_t1_cs_d2" 0
"199" "o4_t2_ap_d1" "o4_t2_mf_d1" 0
"200" "o4_t2_ap_d1" "o4_t2_mf_d2" 0
"201" "o4_t2_ap_d1" "o4_t2_ap_d2" 0
"202" "o4_t2_ap_d1" "o4_t2_rp_d1" 0
"203" "o4_t2_ap_d1" "o4_t2_rp_d2" 0
"204" "o4_t2_ap_d2" "o4_t1_cs_d1" 1
"205" "o4_t2_ap_d2" "o4_t1_cs_d2" 1
"206" "o4_t2_ap_d2" "o4_t2_mf_d1" 1
